Event1 Event2 Station CoefMax LagSample LagTime
1 2 8 0.840559606063893 0 0
1 2 5 0.890757486337072 -21 -0.21
1 5 8 0.844148285471248 -6 -0.06
1 5 3 0.712760201073089 2 0.02
1 5 5 0.776173606186567 -14 -0.14
1 32 3 0.956514649603888 4 0.04
1 33 8 0.868119916257324 -2 -0.02
1 33 3 0.905030807083975 3 0.03
1 35 3 0.964574979971811 3 0.03
1 36 8 0.773819568953304 -15 -0.15
1 36 3 0.818608748750042 5 0.05
1 37 8 0.704655083634602 -14 -0.14
1 40 3 0.901368178544909 4 0.04
1 40 5 0.734583893356671 -14 -0.14
1 54 8 0.827576839486759 0 0
1 54 3 0.783105710683216 5 0.05
1 55 8 0.871772824899411 -3 -0.03
1 55 3 0.942526997737472 4 0.04
1 56 8 0.867325792886543 -1 -0.01
1 56 3 0.956437299419868 3 0.03
1 57 8 0.833377956077424 -3 -0.03
1 58 8 0.865246358693181 0 0
1 58 3 0.944015393764967 2 0.02
1 59 8 0.880418264792608 1 0.01
1 59 3 0.938274052574153 4 0.04
1 61 8 0.773876990084062 -1 -0.01
1 61 3 0.944216169959584 5 0.05
1 61 5 0.710843317655555 -16 -0.16
1 63 8 0.717920145869886 1 0.01
1 63 3 0.880375801863762 5 0.05
1 63 9 0.758570109476697 10 0.1
1 64 3 0.8257699999012 -5 -0.05
1 64 9 0.714199841640407 7 0.07
1 66 8 0.780055233192433 -2 -0.02
1 66 3 0.963241339889885 4 0.04
1 67 8 0.838793000723213 -1 -0.01
1 67 3 0.96041320666524 4 0.04
1 68 8 0.844852949530484 -2 -0.02
1 68 3 0.9627254305507 4 0.04
1 69 8 0.888280858945493 -1 -0.01
1 75 3 0.880254759552161 3 0.03
1 76 8 0.901968200795916 -1 -0.01
1 76 3 0.95394294704792 3 0.03
1 78 3 0.756286485259053 4 0.04
1 82 8 0.792754915856437 -9 -0.09
1 82 3 0.919873785602098 -1 -0.01
1 82 5 0.82092117841011 -18 -0.18
1 83 3 0.947669947387478 -4 -0.04
1 83 5 0.757270545982435 -15 -0.15
1 84 8 0.782008355122522 -1 -0.01
1 84 3 0.804899411891852 6 0.06
1 85 8 0.904741479689246 1 0.01
1 85 3 0.88461328065751 4 0.04
1 87 8 0.798780184973358 -15 -0.15
1 87 3 0.8385607150145 -2 -0.02
1 87 5 0.767803498402789 -18 -0.18
1 87 9 0.746451589432858 5 0.05
1 88 8 0.832326418746709 0 0
1 88 3 0.958605776688788 4 0.04
1 88 5 0.816316645312455 -17 -0.17
1 88 9 0.7516707643842 4 0.04
1 89 3 0.957698639203309 6 0.06
1 89 5 0.798128518914331 -16 -0.16
2 40 1 0.710620549252298 -2 -0.02
2 40 8 0.775217812563641 -1 -0.01
2 40 5 0.706043004393344 7 0.07
2 55 8 0.753533513760005 -3 -0.03
2 61 5 0.740080881869357 5 0.05
2 63 8 0.780449905705674 0 0
2 63 1 0.703195194322145 0 0
2 69 8 0.870281137767435 -1 -0.01
2 76 8 0.797521957491906 -1 -0.01
2 76 5 0.763842559613646 6 0.06
2 82 5 0.765221099674356 2 0.02
2 84 8 0.941166105242632 -1 -0.01
2 84 1 0.709132845151986 -9 -0.09
2 85 8 0.92421881294176 0 0
2 87 8 0.716038297583599 -6 -0.06
2 87 5 0.845095262972951 3 0.03
3 38 8 0.759813270627062 -5 -0.05
3 38 8 0.759813270627062 -5 -0.05
4 35 8 0.75864203249565 -1 -0.01
4 35 5 0.829429424836252 -14 -0.14
4 36 5 0.788571669388697 -14 -0.14
4 36 9 0.703047517038424 -5 -0.05
4 61 5 0.779189399389001 -17 -0.17
4 68 5 0.776675065326151 -14 -0.14
4 76 5 0.773429546003895 -15 -0.15
4 78 5 0.817239051487936 -10 -0.1
4 82 5 0.752471148038491 -19 -0.19
4 82 9 0.724070304290984 2 0.02
4 87 5 0.717097216663323 -18 -0.18
4 88 5 0.715045342039575 -3 -0.03
5 6 8 0.897933476622309 0 0
5 33 8 0.90316058415863 4 0.04
5 38 8 0.794842279830932 4 0.04
5 54 8 0.753907959633322 -14 -0.14
5 56 8 0.879732493878038 5 0.05
5 57 8 0.945341426298287 3 0.03
5 58 8 0.885879304139695 6 0.06
5 58 4 0.723550755456445 -4 -0.04
5 59 8 0.895624764092415 7 0.07
5 61 8 0.798456146056211 5 0.05
5 66 8 0.896674175242187 5 0.05
5 67 8 0.863901392443909 5 0.05
5 68 8 0.870863617576845 4 0.04
5 69 8 0.7852463199613 5 0.05
5 76 8 0.938288318364431 5 0.05
5 82 8 0.704440477078622 -14 -0.14
5 82 5 0.715490556598139 -4 -0.04
5 83 5 0.764558899514 0 0
5 84 8 0.748864257619361 -14 -0.14
5 85 8 0.858468786832055 7 0.07
5 85 3 0.74989142233921 2 0.02
5 88 8 0.75435156465001 6 0.06
5 88 5 0.726056882959289 14 0.14
5 89 8 0.753565999937872 7 0.07
6 32 4 0.705043129882468 0 0
6 32 3 0.918120356604519 -2 -0.02
6 33 8 0.849874154504093 4 0.04
6 33 3 0.846433369851554 -3 -0.03
6 36 8 0.70377855175376 -9 -0.09
6 36 3 0.782811366343575 0 0
6 38 8 0.754574126208867 -6 -0.06
6 40 8 0.775070677678522 -15 -0.15
6 40 3 0.885999654760745 -1 -0.01
6 54 8 0.838021006276522 -15 -0.15
6 54 3 0.756673279758898 -1 -0.01
6 55 8 0.813803754779849 3 0.03
6 55 3 0.88274844378021 -1 -0.01
6 56 8 0.863265417622311 4 0.04
6 56 3 0.926385673656556 -2 -0.02
6 58 8 0.780935861043956 -4 -0.04
6 58 3 0.866645811765101 -3 -0.03
6 59 8 0.784628740160239 -3 -0.03
6 59 3 0.858227440887696 -1 -0.01
6 61 8 0.76192140675412 5 0.05
6 61 3 0.866860266543164 0 0
6 64 3 0.844306722436329 -10 -0.1
6 66 8 0.820546008722544 4 0.04
6 66 3 0.897320626462249 -1 -0.01
6 67 8 0.76202238380641 5 0.05
6 67 3 0.90589252871816 -1 -0.01
6 68 8 0.769701295783397 4 0.04
6 68 3 0.90213926955017 -1 -0.01
6 69 8 0.779999185687711 -15 -0.15
6 75 3 0.858824722125484 -2 -0.02
6 76 8 0.887171567829018 5 0.05
6 76 3 0.90691506498973 -3 -0.03
6 78 3 0.748234861322118 -1 -0.01
6 83 3 0.932333965689512 -9 -0.09
6 84 8 0.802981742834765 -15 -0.15
6 89 3 0.905554781210087 0 0
8 9 5 0.782655793407948 -21 -0.21
8 15 5 0.701431908664487 -32 -0.32
8 16 3 0.724307168659984 -15 -0.15
8 20 3 0.749369545556338 -15 -0.15
8 28 3 0.760467365384875 -11 -0.11
8 29 5 0.711250191154553 -33 -0.33
8 41 3 0.761796873015139 -8 -0.08
8 42 3 0.74312741041271 -16 -0.16
8 43 3 0.714742868101786 -21 -0.21
8 80 5 0.740536359367041 -31 -0.31
8 81 3 0.791405613328145 -3 -0.03
8 86 4 0.71020958710257 -2 -0.02
8 90 3 0.787148714344897 -1 -0.01
9 10 4 0.868145718560296 0 0
9 20 1 0.759052627847857 -9 -0.09
9 21 4 0.837132736460487 8 0.08
9 26 4 0.751963279737193 28 0.28
9 28 4 0.801961706846366 31 0.31
9 29 5 0.818388914164823 -12 -0.12
9 47 1 0.794974576214177 -1 -0.01
9 48 1 0.711396621844843 -6 -0.06
9 79 4 0.808863666902674 2 0.02
9 80 4 0.844131222585726 4 0.04
9 80 5 0.880153081373503 -10 -0.1
9 91 4 0.777495238151964 9 0.09
9 92 4 0.714732390567336 10 0.1
10 15 4 0.706879022625947 6 0.06
10 15 5 0.782975758902003 0 0
10 16 4 0.701557149939349 10 0.1
10 21 4 0.732821779118717 7 0.07
10 26 4 0.769473758263626 28 0.28
10 28 4 0.821049193337232 30 0.3
10 29 4 0.793094772242779 4 0.04
10 29 5 0.750062473100501 -1 -0.01
10 47 10 0.787820140757813 -27 -0.27
10 70 10 0.702499325469822 6 0.06
10 79 4 0.875322773684608 2 0.02
10 80 4 0.916642607380404 4 0.04
10 90 3 0.710139390269097 -6 -0.06
10 91 4 0.814440058233108 9 0.09
10 92 4 0.765229175172448 9 0.09
11 13 3 0.744183175110664 -9 -0.09
11 14 3 0.79041851334658 1 0.01
11 16 3 0.706136490724598 3 0.03
11 18 3 0.811939744001679 -4 -0.04
11 19 3 0.930874502566856 0 0
11 20 3 0.743189224498598 -8 -0.08
11 21 3 0.773501515274566 8 0.08
11 22 3 0.739193149520634 -7 -0.07
11 23 3 0.809168881209948 -4 -0.04
11 24 3 0.832429324947312 -1 -0.01
11 25 3 0.832389720118684 -4 -0.04
11 26 3 0.845286803807178 -2 -0.02
11 27 3 0.848471604142298 -3 -0.03
11 28 3 0.766905006012641 -6 -0.06
11 31 3 0.836097445579541 1 0.01
11 41 6 0.713015150853595 -1 -0.01
11 42 3 0.760783965040857 -9 -0.09
11 46 3 0.722163045101777 -11 -0.11
11 65 3 0.80540817351339 -2 -0.02
11 90 4 0.705560397765348 -1 -0.01
11 90 3 0.709254205284066 -9 -0.09
11 91 3 0.736671077644253 -9 -0.09
12 13 6 0.915410654695657 1 0.01
12 13 3 0.707537127237519 -8 -0.08
12 15 6 0.744431496309514 0 0
12 16 6 0.743214206274752 0 0
12 17 6 0.904666489368708 2 0.02
12 18 3 0.71980365884348 -3 -0.03
12 19 3 0.751075675512943 1 0.01
12 22 6 0.85023203317114 4 0.04
12 23 3 0.810561281109652 -3 -0.03
12 25 6 0.850190235959319 7 0.07
12 25 3 0.749537371691827 -3 -0.03
12 26 6 0.721410443218168 8 0.08
12 26 3 0.717797333203032 0 0
12 27 6 0.844601777693515 3 0.03
12 27 3 0.756125649654431 -1 -0.01
12 31 3 0.812038658547307 3 0.03
12 42 6 0.719479618590172 4 0.04
12 48 10 0.752195035521858 -1 -0.01
12 49 10 0.729502675772447 0 0
12 90 6 0.801913090562661 4 0.04
12 91 6 0.765896801605112 0 0
12 92 3 0.733819394860544 -1 -0.01
13 15 6 0.780976913913465 0 0
13 15 10 0.950367792049261 0 0
13 15 1 0.861005774270321 1 0.01
13 16 6 0.712960135024084 -1 -0.01
13 16 3 0.900594130625697 1 0.01
13 16 1 0.762825962043497 6 0.06
13 17 6 0.979665884473212 1 0.01
13 17 3 0.779008993806333 22 0.22
13 17 1 0.71464326711952 4 0.04
